Timestamp,SAB:G1.TNH_V,SAB:G1.L89SSC,SAB:G1.L52BT1,SAB:G1.L52BT2,SAB:G1.L52BD1,SAB:G1.L52BD2,SAB:G1.L52VG1,SAB:G1.L52VG2,SAB:G1.L1X,SAB:G1.L52BN1,SAB:G1.L52BN2,SAB:BOP.A3.LCA54.AA091XH01,SAB:G1.L52TK1,SAB:G1.L52TK2
4/12/2022T 15:44:18,343.8441,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:19,350.015869,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:20,356.187653,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:21,362.36496,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:22,368.588562,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:23,374.812134,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:24,381.035736,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:25,387.2593,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:26,393.4829,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:27,399.655884,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:28,405.828156,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:29,412.000458,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:30,418.17276,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:31,424.345032,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:32,430.144928,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:33,435.887482,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:34,441.630066,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:35,447.37265,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:36,453.1152,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:37,458.837128,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:38,464.552032,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:39,470.266937,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:40,475.981842,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:41,481.696747,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:42,487.329346,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:43,492.912933,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:44,498.4965,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:45,504.080078,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:46,509.663635,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:47,515.1625,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:48,520.578735,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:49,525.994934,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:50,531.4112,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:51,536.827454,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:52,542.0855,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:53,547.130859,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:54,552.1762,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:55,557.221558,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:56,562.2669,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:57,567.3391,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:58,572.485168,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:59,577.6313,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:00,582.777344,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:01,587.9234,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:02,592.9941,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:03,597.62616,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:04,602.2582,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:05,606.890259,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:06,611.5223,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:07,616.122864,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:08,619.5723,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:09,623.0218,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:10,626.471252,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:11,629.9207,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:12,633.3702,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:13,635.9826,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:14,638.50885,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:15,641.035034,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:16,643.5612,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:17,646.0874,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:18,647.875,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:19,649.4622,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:20,651.0494,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:21,652.6366,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:22,654.2238,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:23,655.3759,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:24,656.347351,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:25,657.3188,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:26,658.2903,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:27,659.2617,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:28,660.059143,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:29,660.7123,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:30,661.3654,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:31,662.018555,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:32,662.6717,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:33,663.255066,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:34,663.758667,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:35,664.2622,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:36,664.7658,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:37,665.2694,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:38,665.6708,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:39,665.840942,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:40,666.0111,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:41,666.181335,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:42,666.3515,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:43,666.5184,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:44,666.6706,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:45,666.8229,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:46,666.975159,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:47,667.1274,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:48,667.2818,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:49,667.466064,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:50,667.6503,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:45:51,667.834656,1,,1,,1,1,,1,,1,1,,
